,post_data,screen_name,tweet_text
0,2017-04-12 07:22:00,kunalnayyar,@tasisme @billprady @missmayim @simonhelberg You're boring.
1,2017-04-10 22:48:13,kunalnayyar,@kingsthings @NBA Survival of the fittest!
2,2017-04-07 16:21:23,kunalnayyar,As a goodwill ambassador for the WPA I proudly support #worldhealthday2017 We focus on #DepressionLetsTalk more info-https://t.co/trkBEPd8Nv
3,2017-04-04 22:25:15,kunalnayyar,@lauraenich I was probably drunk;)
4,2017-04-03 16:43:59,kunalnayyar,My heart goes out to all the people and families affected by the senseless bombing in St. Petersburg.
5,2017-03-25 16:44:44,kunalnayyar,It's Saturday! Gonna sit in my undies all day!
6,2017-03-25 06:42:11,kunalnayyar,For everyone who voted for this guy. Remember this was once. https://t.co/TV6VySJTN7
7,2017-03-23 20:01:10,kunalnayyar,@AnnaKendrick47 especially mine
8,2017-03-22 22:23:18,kunalnayyar,"My heart goes out to London and all the people affected by the hideous attacks outside the parliament... Sending love, light and healing."
9,2017-03-20 05:29:59,kunalnayyar,So goooood https://t.co/cn54ycjmUF
10,2017-03-18 18:50:05,kunalnayyar,You go rickie https://t.co/RMnYRfphyN
11,2017-03-18 08:41:48,kunalnayyar,@IISuperwomanII unless they look like me
12,2017-03-17 07:07:22,kunalnayyar,@PREEYAKALIDAS you wouldn't be tweeting about if it really wassssss;)
13,2017-03-17 07:05:18,kunalnayyar,@StefanoMilitel2 I'll continue to do both. And good luck stopping me:)
14,2017-03-16 22:06:58,kunalnayyar,WTF is going on. https://t.co/okB1trT76i
15,2017-03-16 19:01:14,kunalnayyar,You're going dowwwwwwn https://t.co/4fLUhb8jP0
16,2017-03-14 16:41:12,kunalnayyar,It's Tuesday! Don't forget your manners.
17,2017-03-14 05:53:44,kunalnayyar,@missmircea that's what Lionel Ritchie would do.
18,2017-03-13 05:13:36,kunalnayyar,Happy holi!!!!!! Bhang it up:)
19,2017-04-09 15:55:08,simonhelberg,https://t.co/RwfrY4HCfq
20,2017-04-06 21:11:56,simonhelberg,https://t.co/5t9pZdMdTC
21,2017-04-05 16:07:37,simonhelberg,Can't a NAZI catch a break? https://t.co/aH1IBnOlvC
22,2017-03-31 04:16:24,simonhelberg,"Trump is a corporation, not a person, and certainly not a public servant. https://t.co/XopcSexQ8m"
23,2017-03-31 04:15:32,simonhelberg,"""When you are given immunity, that means you have probably committed a crime.” 
-Michael Flynn
https://t.co/wi1wFVHWVP"
24,2017-03-31 04:15:03,simonhelberg,"Hey, more white guys in suits destroying our planet for money!
https://t.co/EaBK3U1Bbq"
25,2017-03-31 04:14:09,simonhelberg,"The war on women.
https://t.co/On4AiMxFUN"
26,2017-03-29 04:02:23,simonhelberg,You can feel the evil. https://t.co/zkjDjRt124
27,2017-03-07 17:21:02,simonhelberg,"VOTE, California! They said the turnout has been TINY. And they weren't just talking about me. https://t.co/dHosMRvOjO"
28,2017-03-07 16:12:41,simonhelberg,"VOTE today, California!!! More important than ever. It all starts at the local level..."
29,2017-03-04 17:46:40,simonhelberg,"""The bro gone pro...the slimeball whose insecure sense of entitlement is the foundation of his business model."" https://t.co/Apnm5Sfqsp"
30,2017-03-01 22:31:16,simonhelberg,"If the president continues to cut EPA staff/funding, this kind of tragedy will be commonplace all over the country. 
https://t.co/3LxRtThSKz"
31,2017-02-15 15:44:03,simonhelberg,"Bye, Felicia. #impeach https://t.co/CHRV8E1pKa"
32,2017-02-14 21:57:57,simonhelberg,IMPEACH https://t.co/y0sZSx0rJ8
33,2017-02-07 05:34:51,simonhelberg,Call N Carolina's Thom Tillis's office - he's undecided about how to vote for UNQUALIFIED DeVos &amp; wants to hear from people. (202) 224-6342
34,2017-02-06 17:31:45,simonhelberg,I got an endorsement from Sharpie. The new kind of fascism - making opposition difficult/unverifiable. RESIST. https://t.co/KYs97gSE3a
35,2017-02-06 16:56:31,simonhelberg,Now @twitter - will you shut down the account of @realDonaldTrump? He incites violence/is ruining the world with it. https://t.co/QEDlmAcrW5
36,2017-02-05 19:19:05,simonhelberg,"Postmodern fascism, compulsive believers - this sums it up better than most things I've read. https://t.co/8LahuhtNGe"
37,2017-01-31 23:58:19,simonhelberg,Beautiful. https://t.co/fv3Tvf4TtV
38,2017-01-31 23:54:48,simonhelberg,Woohoo! KEEP FIGHTING! And keep calling your reps - they're listening... https://t.co/acttbdMErq
39,2017-01-31 18:08:46,simonhelberg,NAZI IN THE WHITE HOUSE! Call the Senate Committee on Homeland Security to protest STEPHEN BANNON'S installation on the NSC. 202-224-4751
40,2017-01-29 04:20:35,simonhelberg,wait wait wait no no no no - today raging NAZI Stephen Bannon has been quietly put in charge of National Security! https://t.co/HtWLAv9DNt
41,2017-01-29 03:54:19,simonhelberg,So like...concentration camps? https://t.co/G02fqz5ve0
42,2017-01-29 03:20:18,simonhelberg,Go @ACLU! https://t.co/fwdw4ysetJ
43,2017-01-29 01:29:50,simonhelberg,https://t.co/gPZ0cdHKUb
44,2017-04-11 00:33:37,missmayim,Off the grid until wed night for #passover. Gut yontif. https://t.co/0BKJLTkcZc
45,2017-04-10 23:09:23,missmayim,". @DelishDotCom came to my house &amp; went through my groceries/recipes to check out the Bialik Passover situation, lol https://t.co/W36Rnc3AC3"
46,2017-04-10 19:24:28,missmayim,"Spoke with Live Tonight in Israel via live stream to discuss my thoughts on Zionism, feminism, &amp; social injustices. https://t.co/e6vYdZR22o"
47,2017-04-10 18:10:44,missmayim,"For Nat'l #EncourageAYoungWriterDay I interview my 11 yr old, Miles about a writing class his dad &amp; I made him take… https://t.co/rghbeB9krR"
48,2017-04-10 17:32:52,missmayim,@wvtreehuggers @Kveller Thank you :)
49,2017-04-10 17:29:08,missmayim,@EstherK @arstechnica Wow!!!!!
50,2017-04-10 17:28:52,missmayim,@JohnRossBowie Genius
51,2017-04-10 17:28:31,missmayim,@bdgrabinski Yes
52,2017-04-10 13:14:18,missmayim,Suggestion: Google a list of countries that still have a death penalty. https://t.co/XzEZqExRWx
53,2017-04-10 12:31:01,missmayim,@bdgrabinski Yup
54,2017-04-09 19:34:11,missmayim,@bdgrabinski @BrianWCollins I wish!!!
55,2017-04-09 18:37:13,missmayim,"My father died 2 yrs ago today. Here's where my brain is at re: his death, the world, &amp; possibilities of new love. https://t.co/zRP6xzepYp"
56,2017-04-09 14:11:07,missmayim,"To the people of #Egypt, I am speechless. 2 bombings at Coptic churches on Palm Sunday. Constantly at a loss for wo… https://t.co/0MQAquAqL1"
57,2017-04-03 18:37:52,MelissaRauch,The Ronald McDonald House provides vital resources and a home away from home for families while… https://t.co/ePXYk5lEwV
58,2017-03-30 19:15:16,MelissaRauch,If you wanna get your laughs on - there's an awesome new @bigbangtheory tonight!!! https://t.co/e61i7UWPf8
59,2017-03-23 00:57:02,MelissaRauch,I had such a wonderful time getting to know the incredible kids and faculty at The Ardella B.… https://t.co/KwDd5rUSO4
60,2017-03-17 19:27:51,MelissaRauch,The proposed budget eliminates or harms critical programs which fight hunger &amp; help lift families out of poverty.… https://t.co/HnQuEa4Yo4
61,2017-03-08 20:45:31,MelissaRauch,"In honor of #internationalwomensday I wanted to share some photos of two badass women, my… https://t.co/czZd3u0zEP"
62,2017-03-08 20:27:24,MelissaRauch,Love to the women of the world from @bigbangtheory #InternationalWomensDay https://t.co/Ct6gERZmLo
63,2017-03-07 21:03:49,MelissaRauch,Love this piece by the awesome @joesteiger https://t.co/y2icimHf8h
64,2017-03-07 19:45:17,MelissaRauch,"California! If you're eligible to vote today, get out there and rock it locally! 🇺🇸🇺🇸🇺🇸https://t.co/1b12ClDUwW https://t.co/jxY7EBkFgO"
65,2017-03-07 05:01:57,MelissaRauch,"Hey LA! Don't forget to get your vote on tomorrow! If you don't know where your polling place is, this will tell ya: https://t.co/Hb8GFqPSEj"
66,2017-03-03 23:23:42,MelissaRauch,Not a fan of this remake... https://t.co/fZNfAxwB1J
67,2017-03-02 02:43:26,MelissaRauch,"Please take a moment to read this extremely important and heartfelt article by the wonderful @JRadloff 
https://t.co/CkgO2rKBuh"
68,2017-03-02 02:26:45,MelissaRauch,"Spoiler alert: I got the final rose!!! Okay...busted, not true, but I was super excited to run… https://t.co/5X56TpS4d4"
69,2017-02-23 21:19:25,MelissaRauch,There's a kickass new @bigbangtheory tonight!!! https://t.co/kS6B2Ib6sZ
70,2017-02-23 06:24:37,MelissaRauch,@MichaelAusiello @bigbangtheory We'll always have Stage 25...
71,2017-02-23 06:20:13,MelissaRauch,Not to brag about my intimate conquests-but thrilled to have bed the scoop master @MichaelAusiello #tapenightdelight https://t.co/e02kEPeU59
72,2017-02-23 03:43:51,MelissaRauch,"""This isn’t a states rights’ issue, it’s a civil rights issue."" #protecttranskids 
https://t.co/2ZhzNrUFaQ"
73,2017-02-20 21:46:56,MelissaRauch,"""Do not let selfish men or greedy interests skin your country of its beauty, its riches or its romance""-T. Roosevelt https://t.co/3kgSc0mAdH"
74,2017-02-14 18:37:48,MelissaRauch,Follow your heart...it knows what's up. Happy Valentine's Day ❤ https://t.co/ItZyrxq2ND
75,2017-04-11 17:39:21,KevinSussman,"I miss the old days when you could dump wherever, whenever. https://t.co/sdd2EBdfDQ"
76,2017-04-09 19:25:47,KevinSussman,@metawops @bigbangtheory 😎
77,2017-04-06 01:13:35,KevinSussman,@ala005 I did see it 'cause I always check #boardgamegeek - but thanks for the heads up!
78,2017-04-04 23:28:05,KevinSussman,@PinkLevi18 Big Bang fans on a plane! :)
79,2017-04-01 18:23:55,KevinSussman,I am THE world's greatest bowler. April fools! I suck at bowling. I am the world's greatest lover though. I would never joke about that.
80,2017-03-29 18:07:35,KevinSussman,@gr_sai @coolcheese5 Nope. I assume they do Simon &amp; Garfunkel covers?
81,2017-03-29 03:50:25,KevinSussman,@mondoreally i'll wait till they work out the kinks.
82,2017-03-29 03:49:03,KevinSussman,@Collinsjordan13 Thanks Jordan!
83,2017-03-29 03:48:12,KevinSussman,@gr_sai @coolcheese5 this has gone to a very weird place.
84,2017-03-29 03:47:02,KevinSussman,@DarwinBrandis thank you. And i'm sorry.
85,2017-03-29 03:45:22,KevinSussman,"@MichaelArthur10 Just what I need, a restraining order from a gnat."
86,2017-03-29 03:40:49,KevinSussman,"@PattieWalters1 Couch in front of TV, where else?"
87,2017-03-28 22:35:42,KevinSussman,"A bug just flew out of my salad, so I guess it's really fresh or I'll tweet back when the food poisoning sets in."
88,2017-03-28 03:14:18,KevinSussman,Unplugs from the Matrix. Looks around. Plugs back in.
89,2017-03-24 23:19:00,KevinSussman,@BBW_BFF Loved this movie!
90,2017-03-24 18:22:32,KevinSussman,@gdeath62 Yup.
91,2017-03-24 18:20:22,KevinSussman,@AndrCloutier snuck out
92,2017-03-24 18:19:20,KevinSussman,@bhaddogATL yorkie-bichon mix. Female. Ethel :) Pet store after getting turned down for adoption.. :(
93,2017-03-24 01:46:34,KevinSussman,Is it littering if a parrot does it? Asking for a friend. Who is a parrot.
94,2017-03-23 20:37:31,KevinSussman,@billprady I don't know what that means but I hate it.
95,2017-03-23 15:41:30,KevinSussman,"DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT DROP IT
#NationalPuppyDay"
96,2017-03-21 17:51:04,KevinSussman,"-What's for lunch?
-I cannot confirm or deny any information about lunch at this time.
-So, ham?
-
-
-Yes"
97,2017-03-21 15:53:21,KevinSussman,@V3xingD3sign ☺️
98,2017-03-21 15:52:42,KevinSussman,"@holf00 I did, thanks David!"
99,2017-03-21 15:49:46,KevinSussman,@greyunitato :)
100,2017-03-21 15:48:51,KevinSussman,@Sephera @IAMRayPark Thanks Sephera!!
101,2017-03-19 06:10:21,KevinSussman,@joss @BBW_BFF @sinKEVitch @JohnCassaday Talk about geniuses - Wrightson... amazing - inimitable... RIP
102,2017-03-18 23:18:21,KevinSussman,@CrankyFae @IAMRayPark I am. It's my go to move.
103,2017-03-18 23:17:36,KevinSussman,Who said socialized medicine doesn't work - you guys diagnosed my ADHD in 15 minutes! https://t.co/u7CBnGNgnq
